Year,Type,Coal and other solid fuel,Crude Oil,Electricity,Natural Gas,Petroleum products,Abu Dhabi,Dubai,Iran,Kuwait,Oman,Saudi Arabia,Algeria,Angola,Latvia,Libya,Lithuania,Mexico,Netherlands,Nigeria,Norway,Russia,U.S.A.,Venezuela,Other Countries,Belgium,Australia,Egypt,Qatar,Trinidad & Tobago,Dominican Republic,Peru,Yemen,Equatorial Guinea,Cameroon,France
2001,ImportFuels,26.2,45.6,1.0,2.8,24.5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2002,ImportFuels,21.4,47.6,0.8,5.5,24.7,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2003,ImportFuels,21.6,46.8,0.4,7.1,24.1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2004,ImportFuels,19.9,48.0,0.7,8.9,22.6,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2005,ImportFuels,22.4,43.2,0.7,10.9,22.8,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2006,ImportFuels,22.8,40.1,0.6,13.8,22.7,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2007,ImportFuels,19.4,32.5,0.5,19.6,28.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2008,ImportFuels,19.0,37.7,0.7,23.3,19.3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2009,ImportFuels,16.0,37.3,0.4,27.3,19.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010,ImportFuels,10.5,35.4,0.4,34.3,19.5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2011,ImportFuels,13.2,36.1,0.5,32.0,18.2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2012,ImportFuels,16.2,35.8,0.7,28.3,19.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2013,ImportFuels,18.2,32.0,0.9,28.6,20.2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2014,ImportFuels,16.9,33.0,1.3,27.1,21.7,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2015,ImportFuels,10.4,32.6,1.3,29.2,26.6,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2016,ImportFuels,4.5,33.3,1.2,32.1,28.9,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2017,ImportFuels,4.1,37.5,1.1,30.4,27.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2018,ImportFuels,5.0,34.3,1.3,30.7,28.8,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2019,ImportFuels,3.4,37.6,1.5,30.3,27.2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020,ImportFuels,3.1,39.7,1.5,32.7,22.9,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2001,CrudeOil,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,1.7,3.5,1.2,0.2,0.0,0.0,2.2,0.0,0.3,73.4,7.7,0.0,0.8,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,CrudeOil,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.8,4.9,0.3,0.1,0.0,0.2,2.0,0.1,0.7,71.0,8.7,0.0,0.9,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,CrudeOil,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,1.7,2.9,0.0,0.0,0.3,0.2,1.7,0.1,0.3,75.6,8.8,0.0,0.9,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,CrudeOil,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,2.4,2.6,0.0,0.0,0.3,0.0,0.6,0.0,0.4,71.2,13.4,0.0,2.2,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,CrudeOil,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,2.5,2.1,0.0,0.0,1.0,0.0,0.3,0.0,0.7,74.1,12.9,0.0,2.7,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,CrudeOil,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,2.0,0.0,0.3,0.0,1.0,71.2,13.0,0.0,3.4,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,CrudeOil,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.9,0.0,1.8,0.0,0.8,0.1,1.7,71.5,10.3,0.0,2.6,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,CrudeOil,null,null,null,null,null,0.0,0.0,0.1,0.0,0.0,0.0,3.0,2.6,0.0,3.9,0.0,0.7,0.2,3.8,67.3,10.8,0.0,1.6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,CrudeOil,null,null,null,null,null,0.0,0.0,1.1,0.0,0.0,0.0,2.4,1.9,0.0,3.7,0.0,0.0,0.1,3.6,69.1,8.0,0.0,1.9,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,CrudeOil,null,null,null,null,null,0.0,0.0,0.9,0.0,0.0,0.0,2.4,0.2,0.0,5.4,0.0,0.0,0.1,3.4,72.1,6.5,0.0,1.3,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,CrudeOil,null,null,null,null,null,0.0,0.0,1.3,0.0,0.0,0.3,4.7,0.9,0.0,1.4,0.0,0.0,0.1,6.5,66.7,8.2,0.0,1.3,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,CrudeOil,null,null,null,null,null,0.0,0.0,0.3,0.0,0.0,1.0,6.0,2.8,0.0,5.4,0.0,0.0,0.1,12.3,50.3,11.4,0.0,1.3,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,CrudeOil,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,3.9,12.3,2.5,0.0,4.5,0.0,0.0,0.2,11.4,41.5,7.3,0.0,1.1,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,CrudeOil,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,3.4,14.5,1.9,0.0,1.5,0.0,0.0,0.1,11.4,45.9,6.4,0.0,1.1,13.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,CrudeOil,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,3.9,13.5,5.5,0.0,0.7,0.0,0.0,0.0,11.6,50.2,6.4,0.2,1.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,CrudeOil,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,2.9,5.3,2.4,0.0,2.3,0.0,0.0,0.0,6.9,64.9,5.9,1.4,0.8,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,CrudeOil,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,3.7,7.9,0.3,0.0,5.4,0.0,0.0,0.1,7.7,57.6,5.9,8.0,0.3,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,CrudeOil,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,2.5,10.3,0.3,0.0,3.3,0.0,0.0,0.5,12.2,47.4,5.1,15.2,0.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,CrudeOil,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,1.3,8.8,0.0,0.0,1.0,0.0,0.0,0.1,6.1,46.8,7.7,22.3,0.1,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,CrudeOil,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.3,2.7,0.0,0.0,0.5,0.0,0.0,0.1,6.6,48.0,8.3,25.5,0.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,NaturalGas,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,NaturalGas,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.1,0.0,0.0,0.0,0.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,NaturalGas,null,null,null,null,null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.2,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
